问题,答案,选项
1 、下列有关使用漏电保护器的说法，哪种正确?,A,A、漏电保护器既可用来保护人身安全，还可用来对低压系统或设备的对地绝缘状况起到监督作用。,B、漏电保护器安装点以后的线路不可对地绝缘。,C、漏电保护器在日常使用中不可在通电状态下按动实验按钮来检验其是否灵敏可靠。
1035 、关于氢氟酸的描述哪个是错误的？,A,A、氢氟酸有强烈的腐蚀性和危害性，皮肤接触氢氟酸后可出现疼痛及灼伤，随时间疼痛渐剧，皮肤下组织被破坏，这种破坏会传播到骨骼；稀的氢氟酸危害性很低，不会产生严重烧伤。,B、氢氟酸蒸气溶于眼球内的液体中会对人的视力造成永久损害。,C、使用氢氟酸一定要戴防护手套，工作中注意不要接触氢氟酸蒸汽。,D、工作结束后要注意用水冲洗手套、器皿等，不能有任何残余留下。
1036 、在实验内容设计过程中，要尽量选择（）做实验？,A,A、无公害、无毒或低毒的物品,B、实验的残液、残渣较多的物品,C、实验的残液、残渣不可回收的物品
1037 、医学研究表明，心血管的发病率和心肌劳损的发生率均在什么时候最高，所以，为了避免这一“危险”时段，运动医学工作者认为，心血管病人的适宜锻炼时间应在下午,A,A、早上4-6,B、上午6-12,C、下午3-6,D、下午5-7
1038 、在火灾初发阶段，应采取哪种方法撤离？,B,A、乘坐电梯。,B、用湿毛巾捂住口鼻低姿从安全通道撤离。,C、跳楼逃生。,D、跑到楼顶呼救。
1039 、有人触电时，使触电人员脱离电源的错误方法是：,B,A、借助工具使触电者脱离电源,B、抓触电人的手,C、抓触电人的干燥外衣,D、切断电源
1040 、化学品的毒性可以通过皮肤吸收、消化道吸收及呼吸道吸收等三种方式对人体健康产生危害，下列不正确的预防措施是,A,A、实验过程中使用三氯甲烷时戴防尘口罩,B、实验过程中移取强酸、强碱溶液应带防酸碱手套
1041 、在测量交谈噪声时，若风速较大，则传声器,A,A、须加风罩,B、须降低高度,C、须适当转换方向,D、须增加高度
1042 、使用离心机时下列哪种操作是错误的？,B,A、离心机必须盖紧盖子。,B、不需要考虑离心管的对角平衡。,C、液体不能超过离心管2/3。,D、每次使用后要清洁离心机腔
1043 、以下有关实验室用电的注意事项中，不正确的是？,C,A、实验前先检查用电设备，再接通电源；实验结束后，先关仪器设备，再关闭电源。,B、工作人员离开实验室或遇突然断电，应关闭电源，尤其要关闭加热电器的电源开关。,C、电源或电器设备的保险丝烧断后，可以用其它金属导线代替。,D、电源开关附近不得存放易燃易爆物品或堆放杂物。
1044 、触电事故中，绝大部分是（）导致人身伤亡的。,A,A、人体接受电流遭到电击,B、电压,C、电场
1045 、公共娱乐场所安全出口的疏散门应（ ）。,B,A、自由开启,B、向外开启,C、向内开启
1046 、实验中溅入口中已下咽的强酸，先饮用大量水，再服用（　）。,A,A、氢氧化铝溶液，鸡蛋白,B、乙酸果汁，鸡蛋白,C、硫酸铜溶液（30g溶于一杯水中）催吐
1047 、在打磨机上操作时，应如何增加或减少压力,C,A、快速,B、随便,C、逐步,D、稳步
1048 、对危险废物的容器和包装物以及收集、贮存、运输、处置危险废物的设施、场所，必须：,A,A、设置危险废物识别标志,B、设置识别标志,C、设置生活垃圾识别标志,D、不用设置任何标志
"1049 、受污染的移液管放在（　）消毒灭菌,再用自来水冲洗及去离子水冲净",A,A、适宜的消毒剂中浸泡和高压消毒锅中,B、高压消毒锅中,C、适宜的消毒剂中浸泡
1050 、安装使用漏电保护器，是（ ）。,A,A、基本安全措施,B、辅助安全措施,C、绝对安全措施
"1051 、有异物刺人头部或胸部时,以下哪种急救方法是错误的?",C,A、快速送往医院救治。,"B、用毛巾等物将异物固定住,不让其乱动。","C、马上拔出,进行止血"
1052 、应如何简单辨认有味的化学药品,C,A、用鼻子对着瓶口去辨认气味,B、用舌头品尝试剂,C、将瓶口远离鼻子，用手在瓶口上方扇动，稍闻其味即可,D、取出一点，用鼻子对着闻
1053 、如果工作场所潮湿，为避免触电，使用手持电动工具的人应：,B,A、站在铁板上操作,B、站在绝缘胶板上操作,C、穿防静电鞋操作,D、戴上安全帽
1054 、化学强腐蚀烫、烧伤事故发生后，应（），保持创伤面洁净以待医务人员治疗，或用适合于消除这类化学药品的特种溶剂、溶液仔细洗涤烫、烧伤面。,B,A、迅速用大量清水冲洗干净皮肤,B、迅速解脱伤者被污染衣服，及时用大量清水冲洗干净皮肤,C、迅速解脱伤者被污染衣服
1055 、国际规定，电压在（）伏以下不必考虑防止电击的危险。,C,A、36伏,B、65伏,C、25伏
1056 、购买剧毒药品时，必须,C,A、向单位保卫部门申请并批准备案,B、经过公安局审批,C、通过正常渠道在指定的化学危险品商店购买。
1057 、不需在棕色瓶中或用黑纸包裹，置于低温阴凉处的药品是,C,A、卤化银,B、浓硝酸,C、汞,D、过氯化氢
1058 、（）不是影响混合物爆炸极限的因素。,B,A、混合物的温度、压力,B、混合物的多少,C、混合物的含氧量,D、容器的大小
1059 、诱发安全事故的原因是（ ）。,D,A、设备的不安全状态和人的不安全行为,B、不良的工作环境,C、劳动组织管理的缺陷,D、以上都是
1060 、以下几种气体中，有毒的气体为（　）。,C,A、氧气,B、氮气,C、氯气,D、二氧化碳
1061 、对常用的又是易制毒的试剂，应：,C,A、放在试剂架上,B、放在抽屉里，并由专人管理,C、锁在实验室的试剂柜中，并由专人管理
1062 、有人触电时，使触电人员脱离电源的错误方法是：,B,A、借助工具使触电者脱离电源,B、抓触电人的手,C、抓触电人的干燥外衣,D、切断电源
1063 、下列几种物质中的（）与乙醇混溶时易发生爆炸。,A,A、高氯酸,B、乙醚,C、水,D、丙酮
1064 、诱发安全事故的原因是（ ）。,D,A、设备的不安全状态和人的不安全行为,B、不良的工作环境,C、劳动组织管理的缺陷,D、以上都是
1065 、金属梯子不适于（　）。,A,A、有触电机会的工作场所,B、坑穴或密闭场所,C、高空作业
"1066 、为防止肌肉痉挛，夏季进行长时间的运动时，要注意补充（ ）；冬季锻练时,要注意保暖",A,A、盐水,B、水,C、钙,D、糖
1067 、往玻璃管上套橡皮管（塞）时，不正确的做法是,D,A、管端应烧圆滑,B、用布裹手或带厚手套，以防割伤手,C、可以使用薄壁玻管,D、加点水或润滑剂
1068 、节假日期间，仍然需要进入实验室工作的师生，要严格遵守实验室操作规程，做实验时必须要有人在场，并且在实验完成离开时负责（），锁好门窗，以防火灾和爆炸、溢水等事故。,B,A、关闭仪器设备,B、关闭水源、电源、气源,C、关闭计算机
1069 、以下几种气体中，有毒的气体为（　）。,C,A、氧气,B、氮气,C、氯气,D、二氧化碳
1070 、强碱烧伤处理错误的是,A,A、立即用稀盐酸冲洗,B、立即用1%～2%的醋酸冲洗,C、立即用大量水冲洗,D、先进行应急处理，再去医院处理
1071 、在生物医学实验室中进行有害微生物和转基因操作，应使用：,A,A、生物安全柜,B、净化工作台,C、普通实验台,D、通风柜
1072 、引起电器线路火灾的原因是,D,A、短路,B、电火花,C、负荷过载,D、以上都是
1073 、设备或线路的确认无电，应以（　）指示作为根据。,B,A、电压表,B、检验正常的验电器,C、断开信号
1074 、下列哪种灭火器最适于扑灭电气火灾?,A,A、二氧化碳灭火器。,B、干粉灭火器。,C、泡沫灭火器。
1075 、塑料、有机玻璃制品的加热温度不能超过（　）。,B,A、40℃,B、60℃,C、80℃
1076 、学校对危险化学废物的处理的工作原则是：,B,A、自行处理,B、分类收集、定点存放、专人管理、集中处理,C、当作生活垃圾处理,D、以上都不对
1077 、身上着火怎么办？（ ）,A,A、就地打滚。,B、奔跑。
1078 、锻造过程中，不锤击时，应注意,A,A、脚应随即离开踏杆,B、脚应一直踩在踏杆上,C、脚应时而踩在踏杆，时而离开踏杆
1079 、任何电气设备在未验明无电之前，一律认为：,C,A、无电,B、也许有电,C、有电,D、也许无电
"1080 、因实验需要拉接电源线,下列哪种说法是正确的？",A,A、不得任意放置于通道上，以免因绝缘破损造成短路或影响通行,B、插座不足时，可连续串接,C、插座不足时，可连续分接,D、不考虑负荷容量
1081 、静电的电量虽然不大，但其放电时产生的静电火花有可能引起爆炸和火灾，比较常见的是放电时瞬间的电流造成精密实验仪器损坏，不正确的预防措施有,C,A、适当提高工作场所的湿度,B、进行特殊危险实验时，操作人员应先接触设置在安全区内的金属接地棒，以消除人体电位,C、在易产生静电的场所梳理头发,D、计算机进行维护时，使用防静电毯
1082 、一般准备活动主要是一些全身性身体练习，主要包括（ ）、踢腿、弯腰等,C,A、慢走,B、俯卧撑,C、慢跑,D、游戏
1083 、当不慎把大量浓硫酸滴在皮肤上时，正确的处理方法是,D,A、用酒精棉球擦,B、不作处理，马上去医院,C、用碱液中和后，用水冲洗,D、以吸水性强的纸或布吸去后，再用水冲洗
1084 、民用照明电路电压是（ ）。,C,A、直流电压220伏,B、交流电压280伏,C、交流电压220伏
1085 、实验完成后，废弃物及废液应（ ）。,B,A、倒入水槽中,B、分类收集后处理,C、倒入垃圾桶中,D、任意弃置
1086 、在体育锻炼时或体育锻炼后即刻，立即测10秒钟的心率和脉搏，就一般体育锻炼者来说，运动后即刻的心率最好不要超过多少次/10秒,B,A、20次,B、25次,C、30次,D、35次
1087 、下列哪种灭火器最适于扑灭电气火灾?,A,A、二氧化碳灭火器。,B、干粉灭火器。,C、泡沫灭火器。
1088 、对于强酸、强碱或剧毒的废液，应如何处置？,B,A、倒入排水系统。,B、集中存放，然后交相关部门处理。
1089 、在使用设备时，如果发现设备工作异常，应如何办,A,A、停机并报告相关负责人员,B、关机走,C、继续使用，注意观察
1090 、以下药品按毒性从大到小排序正确的是,B,A、甲醛、苯、苯乙烯、丙酮,B、苯、甲醛、甲苯、丙酮,C、甲苯、甲醛、苯、丙酮,D、苯、丙酮、甲苯、甲醛
1091 、使用钻床时，是否可以戴手套操作,A,A、不可以,B、可以,C、随便,D、按需要
1092 、指挥信号的寓意应事先向吊车司机交待清楚，吊车司机如遇操作过程中看不清指挥信号时，为准确传递信号，应,A,A、设中转助手,B、设望远镜,C、设对讲机,D、设信号旗
1093 、氧气瓶与乙炔发生器间距不得小于多少米，二者距明火不应小于（ ）米,A,A、5 10,B、3 6,C、2 4,D、1 2
1094 、在使用数控铣床铣削加工时，正确的顺序是,D,A、传输程序—自动加工,B、传输程序—安装工件—高速空运行—自动加工,C、传输程序—将刀具远离工件—自动加工,D、传输程序—将刀具远离工件—空运行—自动加工
1095 、被病原微生物污染的玻璃器皿，应先放在什么设备中进行消毒灭菌？,B,A、烘箱,B、高压灭菌锅,C、加热真空烘箱,D、微波炉
1096 、在使用设备时，如果发现设备工作异常，怎么办？,A,A、停机并报告相关负责人员。,B、关机走人。,C、继续使用，注意观察。,D、停机自行维修。
1097 、以下液体中，投入金属钠最可能发火燃烧的是,C,A、无水乙醇,B、苯,C、水,D、汽油
1098 、领取剧毒物品时，必须,A,A、双人领用(其中一人必须是实验室的教师),B、单人领用,C、双人领用(两人都是实验室的学生)
1099 、钳工工作时，是否可以戴手套进行工作,A,A、不可以,B、可以,C、随便,D、按需要
1100 、以下符合急救与防护“四先四后”原则的是：,A,A、先抢后救,B、先轻后重,C、先缓后急,D、先病后伤
1101 、火灾蔓延的途径是,D,A、热传导,B、热对流,C、热辐射,D、以上都是
1102 、金属梯子不适于以下什么工作场所,A,A、带电作业的工作场所,B、坑穴或密闭场所,C、高空作业,D、静电
1103 、国际规定，电压在（）伏以下不必考虑防止电击的危险。,C,A、36伏,B、65伏,C、25伏
